DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
LINDEN,95,15,BROOKLYN,195,COZINE AVENUE,195 COZINE AVENUE,BROOKLYN,NY,11207,3337061,4393,1,3043930001,1106,BK82,East New York,5,42,60,19,8,40.6554798292036,-73.8853962879503
LINDEN,95,16,BROOKLYN,270,WORTMAN AVENUE,270 WORTMAN AVENUE,BROOKLYN,NY,11207,3324281,4397,1,3043970001,1106,BK82,East New York,5,42,60,19,8,40.6573339305637,-73.8829296082655
LINDEN,95,17,BROOKLYN,300,WORTMAN AVENUE,300 WORTMAN AVENUE,BROOKLYN,NY,11207,3324284,4397,1,3043970001,1106,BK82,East New York,5,42,60,19,8,40.6578086581827,-73.8818252922322
LINDEN,95,18,BROOKLYN,295,COZINE AVENUE,295 COZINE AVENUE,BROOKLYN,NY,11207,3324283,4397,1,3043970001,1106,BK82,East New York,5,42,60,19,8,40.6570564778834,-73.8816951733853
LINDEN,95,19,BROOKLYN,285,COZINE AVENUE,285 COZINE AVENUE,BROOKLYN,NY,11207,3324282,4397,1,3043970001,1106,BK82,East New York,5,42,60,19,8,40.6568629470933,-73.8821543106321
LONG ISLAND BAPTIST HOUSES,276,1,BROOKLYN,550,SUTTER AVENUE,550 SUTTER AVENUE,BROOKLYN,NY,11207,3328034,3768,18,3037680018,1134,BK85,East New York (Pennsylvania Ave),5,42,60,19,8,40.668706841452,-73.8986225691553
LONG ISLAND BAPTIST HOUSES,276,2,BROOKLYN,398,SHEFFIELD AVENUE,398 SHEFFIELD AVENUE,BROOKLYN,NY,11207,3328050,3787,1,3037870001,1156,BK85,East New York (Pennsylvania Ave),5,42,60,19,8,40.6674884939185,-73.895859801533
LONG ISLAND BAPTIST HOUSES,276,3,BROOKLYN,428,SHEFFIELD AVENUE,428 SHEFFIELD AVENUE,BROOKLYN,NY,11207,3328051,3787,1,3037870001,1156,BK85,East New York (Pennsylvania Ave),5,42,60,19,8,40.6663812848877,-73.8955858162436
LONG ISLAND BAPTIST HOUSES,276,4,BROOKLYN,340,WILLIAMS AVENUE,340 WILLIAMS AVENUE,BROOKLYN,NY,11207,3084282,3767,36,3037670036,1134,BK85,East New York (Pennsylvania Ave),5,42,60,19,8,40.6675224000534,-73.8988276063127
LONGFELLOW AVENUE REHAB,362,1,BRONX,1091,LONGFELLOW AVENUE,1091 LONGFELLOW AVENUE,BRONX,NY,10459,2006277,2757,20,2027570020,12102,BX27,Hunts Point,2,17,85,32,15,40.8259763037861,-73.8880637198491
LONGFELLOW AVENUE REHAB,362,2,BRONX,1102,LONGFELLOW AVENUE,1102 LONGFELLOW AVENUE,BRONX,NY,10459,2006290,2757,80,2027570080,12102,BX27,Hunts Point,2,17,85,32,15,40.8264897192915,-73.887645570593
LOW HOUSES,169,1,BROOKLYN,180,POWELL STREET,180 POWELL STREET,BROOKLYN,NY,11212,3327014,3727,1,3037270001,908,BK81,Brownsville,16,41,55,20,8,40.670153746273,-73.9047607574798
LOW HOUSES,169,2,BROOKLYN,131,BELMONT AVENUE,131 BELMONT AVENUE,BROOKLYN,NY,11212,3327015,3727,1,3037270001,908,BK81,Brownsville,16,41,55,20,8,40.6694494324503,-73.9054249721318
LOW HOUSES,169,3,BROOKLYN,157,BELMONT AVENUE,157 BELMONT AVENUE,BROOKLYN,NY,11212,3327013,3727,1,3037270001,908,BK81,Brownsville,16,41,55,20,8,40.6697286543219,-73.9044027201636
LOW HOUSES,169,4,BROOKLYN,365,SACKMAN STREET,365 SACKMAN STREET,BROOKLYN,NY,11212,3084013,3745,1,3037450001,908,BK81,Brownsville,16,41,55,19,8,40.668982878656,-73.9044929444297
LOWER EAST SIDE I INFILL,326,1,MANHATTAN,175,ELDRIDGE STREET,175 ELDRIDGE STREET,NEW YORK,NY,10002,1005602,420,62,1004200062,18,MN27,Chinatown,3,1,65,26,7,40.7203727134307,-73.9909650092767
LOWER EAST SIDE I INFILL,326,2,MANHATTAN,190,FORSYTHE STREET,190 FORSYTHE STREET,NEW YORK,NY,10002,1077629,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.7218726942846,-73.9909450124993
LOWER EAST SIDE I INFILL,326,2,MANHATTAN,45,STANTON STREET,45 STANTON STREET,NEW YORK,NY,10002,1077629,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.722061200986,-73.9907455464918
LOWER EAST SIDE I INFILL,326,2,MANHATTAN,49,STANTON STREET,49 STANTON STREET,NEW YORK,NY,10002,1077629,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.7220198073095,-73.9906125916641
LOWER EAST SIDE I INFILL,326,3,MANHATTAN,201,ELDRIDGE STREET,201 ELDRIDGE STREET,NEW YORK,NY,10002,1077628,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.7211566286367,-73.990527534835
LOWER EAST SIDE I INFILL,326,3,MANHATTAN,205,ELDRIDGE STREET,205 ELDRIDGE STREET,NEW YORK,NY,10002,1077628,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.7212393918834,-73.9904852178756
LOWER EAST SIDE I INFILL,326,3,MANHATTAN,211,ELDRIDGE STREET,211 ELDRIDGE STREET,NEW YORK,NY,10002,1077628,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.7213267517133,-73.9904368578974
LOWER EAST SIDE I INFILL,326,3,MANHATTAN,215,ELDRIDGE STREET,215 ELDRIDGE STREET,NEW YORK,NY,10002,1077628,421,52,1004210052,3601,MN27,Chinatown,3,1,65,26,7,40.7214784838315,-73.9903703557853
LOWER EAST SIDE I INFILL,326,4,MANHATTAN,200,ELDRIDGE STREET,200 ELDRIDGE STREET,NEW YORK,NY,10002,1077638,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.7210915576246,-73.9903624934662
LOWER EAST SIDE I INFILL,326,4,MANHATTAN,206,ELDRIDGE STREET,206 ELDRIDGE STREET,NEW YORK,NY,10002,1077638,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.7212111027914,-73.9902959972899
LOWER EAST SIDE I INFILL,326,4,MANHATTAN,210,ELDRIDGE STREET,210 ELDRIDGE STREET,NEW YORK,NY,10002,1077638,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.721280072069,-73.9902657688937
LOWER EAST SIDE I INFILL,326,4,MANHATTAN,216,ELDRIDGE STREET,216 ELDRIDGE STREET,NEW YORK,NY,10002,1077638,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.7214318025448,-73.9901811372793
LOWER EAST SIDE I INFILL,326,5,MANHATTAN,71,STANTON STREET,71 STANTON STREET,NEW YORK,NY,10002,1077637,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.7217905593365,-73.9898499748478
LOWER EAST SIDE I INFILL,326,5,MANHATTAN,75,STANTON STREET,75 STANTON STREET,NEW YORK,NY,10002,1077637,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.721749163544,-73.9897049341633
LOWER EAST SIDE I INFILL,326,5,MANHATTAN,77,STANTON STREET,77 STANTON STREET,NEW YORK,NY,10002,1077637,416,1,1004160001,3601,MN27,Chinatown,3,1,65,26,7,40.7217077697583,-73.9895840687336
LOWER EAST SIDE II,337,2,MANHATTAN,637,EAST 5TH STREET,637 EAST 5TH STREET,NEW YORK,NY,10009,1075627,387,144,1003870144,2601,MN28,Lower East Side,3,2,74,26,12,40.7233520422881,-73.9805985354578
LOWER EAST SIDE II,337,2,MANHATTAN,641,EAST 5TH STREET,641 EAST 5TH STREET,NEW YORK,NY,10009,1075627,387,144,1003870144,2601,MN28,Lower East Side,3,2,74,26,12,40.7232968440498,-73.9804776756354
LOWER EAST SIDE II,337,2,MANHATTAN,645,EAST 5TH STREET,645 EAST 5TH STREET,NEW YORK,NY,10009,1075627,387,144,1003870144,2601,MN28,Lower East Side,3,2,74,26,12,40.7232416424581,-73.9803326427494
LOWER EAST SIDE II,337,2,MANHATTAN,649,EAST 5TH STREET,649 EAST 5TH STREET,NEW YORK,NY,10009,1075627,387,144,1003870144,2601,MN28,Lower East Side,3,2,74,26,12,40.7231910409015,-73.9802057383749
LOWER EAST SIDE II,337,3,MANHATTAN,620,EAST 5TH STREET,620 EAST 5TH STREET,NEW YORK,NY,10009,1075625,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7234497210927,-73.9812929706354
LOWER EAST SIDE II,337,3,MANHATTAN,624,EAST 5TH STREET,624 EAST 5TH STREET,NEW YORK,NY,10009,1075625,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7233807206753,-73.9811177201546
LOWER EAST SIDE II,337,3,MANHATTAN,628,EAST 5TH STREET,628 EAST 5TH STREET,NEW YORK,NY,10009,1075625,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7233255198902,-73.9809726853723
LOWER EAST SIDE II,337,3,MANHATTAN,632,EAST 5TH STREET,632 EAST 5TH STREET,NEW YORK,NY,10009,1075625,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7232749200451,-73.9808518251506
LOWER EAST SIDE II,337,3,MANHATTAN,636,EAST 5TH STREET,636 EAST 5TH STREET,NEW YORK,NY,10009,1075625,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7232151229486,-73.9807188793685
LOWER EAST SIDE II,337,3,MANHATTAN,640,EAST 5TH STREET,640 EAST 5TH STREET,NEW YORK,NY,10009,1075625,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7231691187992,-73.9805859298073
LOWER EAST SIDE II,337,3,MANHATTAN,644,EAST 5TH STREET,644 EAST 5TH STREET,NEW YORK,NY,10009,1087354,387,20,1003870020,2601,MN28,Lower East Side,3,2,74,26,12,40.7230973024937,-73.9804488429386
LOWER EAST SIDE II,337,4,MANHATTAN,732,EAST 6TH STREET,732 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7228779507976,-73.9780445866479
LOWER EAST SIDE II,337,4,MANHATTAN,728,EAST 6TH STREET,728 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7229331518384,-73.9781714872795
LOWER EAST SIDE II,337,4,MANHATTAN,724,EAST 6TH STREET,724 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7229929539175,-73.9783104726185
LOWER EAST SIDE II,337,4,MANHATTAN,720,EAST 6TH STREET,720 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7230573540597,-73.978455501499
LOWER EAST SIDE II,337,4,MANHATTAN,716,EAST 6TH STREET,716 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7231171602872,-73.9786186641208
LOWER EAST SIDE II,337,4,MANHATTAN,712,EAST 6TH STREET,712 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7231815609406,-73.9787636935691
LOWER EAST SIDE II,337,4,MANHATTAN,708,EAST 6TH STREET,708 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7232505585107,-73.978908721843
LOWER EAST SIDE II,337,4,MANHATTAN,704,EAST 6TH STREET,704 EAST 6TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7233057627965,-73.9790537535686
LOWER EAST SIDE II,337,4,MANHATTAN,84,AVENUE C,84 AVENUE C,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7232414370599,-73.9793196998179
LOWER EAST SIDE II,337,4,MANHATTAN,80,AVENUE C,80 AVENUE C,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7231908637609,-73.9793559783396
LOWER EAST SIDE II,337,4,MANHATTAN,705,EAST 5TH STREET,705 EAST 5TH STREET,NEW YORK,NY,10009,1075623,375,1,1003750001,2601,MN28,Lower East Side,3,2,74,26,12,40.7228598156511,-73.9794406921536
LOWER EAST SIDE II,337,4,MANHATTAN,709,EAST 5TH STREET,709 EAST 5TH STREET,NEW YORK,NY,10009,1075622,375,63,1003750063,2601,MN28,Lower East Side,3,2,74,26,12,40.722801258785,-73.9793030763257
LOWER EAST SIDE II,337,4,MANHATTAN,713,EAST 5TH STREET,713 EAST 5TH STREET,NEW YORK,NY,10009,1075622,375,63,1003750063,2601,MN28,Lower East Side,3,2,74,26,12,40.7227342528726,-73.9791438966323
LOWER EAST SIDE II,337,5,MANHATTAN,721,EAST 5TH STREET,721 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7225414438578,-73.9786717707097
LOWER EAST SIDE II,337,5,MANHATTAN,725,EAST 5TH STREET,725 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7224816399567,-73.9785206977188
LOWER EAST SIDE II,337,5,MANHATTAN,729,EAST 5TH STREET,729 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7224126387194,-73.9783635844472
LOWER EAST SIDE II,337,5,MANHATTAN,733,EAST 5TH STREET,733 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7223482373121,-73.9782125123442
LOWER EAST SIDE II,337,5,MANHATTAN,737,EAST 5TH STREET,737 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7222884374107,-73.978085615488
LOWER EAST SIDE II,337,5,MANHATTAN,741,EAST 5TH STREET,741 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7222286338966,-73.9779405871166
LOWER EAST SIDE II,337,5,MANHATTAN,745,EAST 5TH STREET,745 EAST 5TH STREET,NEW YORK,NY,10009,1075621,375,45,1003750045,2601,MN28,Lower East Side,3,2,74,26,12,40.7221642310324,-73.9777895170233
LOWER EAST SIDE III,364,1,MANHATTAN,722,EAST 9TH STREET,722 EAST 9TH STREET,NEW YORK,NY,10009,1084876,378,17,1003780017,2602,MN28,Lower East Side,3,2,74,27,12,40.7246343209466,-73.9766738525128
LOWER EAST SIDE III,364,2,MANHATTAN,373,EAST 8TH STREET,373 EAST 8TH STREET,NEW YORK,NY,10009,1085092,378,17,1003780017,2602,MN28,Lower East Side,3,2,74,27,12,40.7242057806768,-73.9770159509091
LOWER EAST SIDE REHAB (GROUP 5),292,1,MANHATTAN,89,AVENUE C,89 AVENUE C,NEW YORK,NY,10009,1004688,389,36,1003890036,2602,MN28,Lower East Side,3,2,74,27,12,40.7237077236768,-73.9792954613872
LOWER EAST SIDE REHAB (GROUP 5),292,2,MANHATTAN,99,AVENUE C,99 AVENUE C,NEW YORK,NY,10009,1004687,389,32,1003890032,2602,MN28,Lower East Side,3,2,74,27,12,40.7239310608115,-73.9791331273923
MANHATTANVILLE,81,1,MANHATTAN,545,WEST 126TH STREET,545 WEST 126TH STREET,NEW YORK,NY,10027,1084125,1984,1,1019840001,219,MN06,Manhattanville,9,7,70,31,13,40.8162553610723,-73.9568138506608
MANHATTANVILLE,81,2,MANHATTAN,3250,BROADWAY,3250 BROADWAY,NEW YORK,NY,10027,1084124,1984,1,1019840001,219,MN06,Manhattanville,9,7,70,30,13,40.8169315769248,-73.9566779277802
MANHATTANVILLE,81,3,MANHATTAN,1420,AMSTERDAM AVENUE,1420 AMSTERDAM AVENUE,NEW YORK,NY,10027,1084127,1984,1,1019840001,219,MN06,Manhattanville,9,7,70,30,13,40.8162276528198,-73.9548694610495
MANHATTANVILLE,81,4,MANHATTAN,1430,AMSTERDAM AVENUE,1430 AMSTERDAM AVENUE,NEW YORK,NY,10027,1084128,1984,1,1019840001,219,MN06,Manhattanville,9,7,70,30,13,40.8170146789255,-73.9550583662995
MANHATTANVILLE,81,5,MANHATTAN,1470,AMSTERDAM AVENUE,1470 AMSTERDAM AVENUE,NEW YORK,NY,10027,1084129,1984,1,1019840001,219,MN06,Manhattanville,9,7,70,31,13,40.817449085623,-73.9539871995295
MANHATTANVILLE,81,6,MANHATTAN,95,OLD BROADWAY,95 OLD BROADWAY,NEW YORK,NY,10027,1084130,1984,1,1019840001,219,MN06,Manhattanville,9,7,70,31,13,40.8178057642556,-73.9548504867116
MARBLE HILL,49,1,MANHATTAN,5210,BROADWAY,5210 BROADWAY,BRONX,NY,10463,1080001,2215,116,1022150116,309,MN01,Marble Hill-Inwood,8,10,72,31,13,40.8747246236733,-73.9088841978358
MARBLE HILL,49,2,MANHATTAN,69,WEST 225TH STREET,69 WEST 225TH STREET,BRONX,NY,10463,1080004,2215,116,1022150116,309,MN01,Marble Hill-Inwood,8,10,72,31,13,40.8742650629233,-73.9081546912946
MARBLE HILL,49,3,MANHATTAN,49,WEST 225TH STREET,49 WEST 225TH STREET,BRONX,NY,10463,1080005,2215,116,1022150116,309,MN01,Marble Hill-Inwood,8,10,72,31,13,40.8740648333234,-73.9077598846834
MARBLE HILL,49,4,BRONX,2811,EXTERIOR STREET,2811 EXTERIOR STREET,BRONX,NY,10463,2092482,3265,1,2032650001,283,BX29,Spuyten Duyvil-Kingsbridge,8,14,81,33,13,40.8739791132428,-73.9067972901404
MARBLE HILL,49,5,BRONX,2831,EXTERIOR STREET,2831 EXTERIOR STREET,BRONX,NY,10463,2092481,3265,1,2032650001,283,BX29,Spuyten Duyvil-Kingsbridge,8,14,81,33,13,40.8746998568484,-73.9067950330236
MARBLE HILL,49,6,BRONX,2861,EXTERIOR STREET,2861 EXTERIOR STREET,BRONX,NY,10463,2100931,3265,1,2032650001,283,BX29,Spuyten Duyvil-Kingsbridge,8,14,81,33,13,40.8754279385936,-73.9066370087226
MARBLE HILL,49,7,MANHATTAN,5480,BROADWAY,5480 BROADWAY,BRONX,NY,10463,1082781,2215,116,1022150116,309,MN01,Marble Hill-Inwood,8,14,72,31,13,40.876197877255,-73.9067670362061
MARBLE HILL,49,8,MANHATTAN,5360,BROADWAY,5360 BROADWAY,BRONX,NY,10463,1082780,2215,116,1022150116,309,MN01,Marble Hill-Inwood,8,10,72,31,13,40.8757483451674,-73.907442274468
MARBLE HILL,49,9,MANHATTAN,5240,BROADWAY,5240 BROADWAY,BRONX,NY,10463,1080003,2215,116,1022150116,309,MN01,Marble Hill-Inwood,8,10,72,31,13,40.8752303679469,-73.9080694543029
MARBLE HILL,49,10,MANHATTAN,125,WEST 228TH STREET,125 WEST 228TH STREET,BRONX,NY,10463,1082782,2215,623,1022150623,309,MN01,Marble Hill-Inwood,8,10,72,31,13,40.8765303436619,-73.908169714618
MARBLE HILL,49,11,BRONX,210,WEST 230TH STREET,210 WEST 230TH STREET,BRONX,NY,10463,2083146,5702,1,2057020001,289,BX29,Spuyten Duyvil-Kingsbridge,8,11,81,33,13,40.8769825296389,-73.9072706366085
MARCY,21,1,BROOKLYN,452,MARCY AVENUE,452 MARCY AVENUE,BROOKLYN,NY,11206,3325583,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6994476168575,-73.9503259777864
MARCY,21,1,BROOKLYN,454,MARCY AVENUE,454 MARCY AVENUE,BROOKLYN,NY,11206,3325583,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6994247910784,-73.950573746461
MARCY,21,2,BROOKLYN,462,MARCY AVENUE,462 MARCY AVENUE,BROOKLYN,NY,11206,3325584,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6990065348809,-73.9505848307576
MARCY,21,2,BROOKLYN,464,MARCY AVENUE,464 MARCY AVENUE,BROOKLYN,NY,11206,3325584,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.699043224662,-73.9503154776612
MARCY,21,2,BROOKLYN,466,MARCY AVENUE,466 MARCY AVENUE,BROOKLYN,NY,11206,3325584,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6988427629712,-73.9502873545748
MARCY,21,3,BROOKLYN,482,MARCY AVENUE,482 MARCY AVENUE,BROOKLYN,NY,11206,3325586,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6984209650595,-73.9502047003329
MARCY,21,3,BROOKLYN,484,MARCY AVENUE,484 MARCY AVENUE,BROOKLYN,NY,11206,3325586,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6982456958859,-73.9501657719096
MARCY,21,3,BROOKLYN,486,MARCY AVENUE,486 MARCY AVENUE,BROOKLYN,NY,11206,3325586,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6982152346534,-73.9504336299719
MARCY,21,4,BROOKLYN,502,MARCY AVENUE,502 MARCY AVENUE,BROOKLYN,NY,11206,3325587,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6977902920457,-73.9502525481825
MARCY,21,4,BROOKLYN,504,MARCY AVENUE,504 MARCY AVENUE,BROOKLYN,NY,11206,3325587,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6978145350056,-73.9500099927593
MARCY,21,5,BROOKLYN,472,MARCY AVENUE,472 MARCY AVENUE,BROOKLYN,NY,11206,3325585,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6987366544895,-73.9508171676508
MARCY,21,5,BROOKLYN,474,MARCY AVENUE,474 MARCY AVENUE,BROOKLYN,NY,11206,3325585,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6984053785762,-73.9507604971121
MARCY,21,6,BROOKLYN,552,FLUSHING AVENUE,552 FLUSHING AVENUE,BROOKLYN,NY,11206,3325582,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6990831884229,-73.9512673198372
MARCY,21,6,BROOKLYN,554,FLUSHING AVENUE,554 FLUSHING AVENUE,BROOKLYN,NY,11206,3325582,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6992816683127,-73.9512965619978
MARCY,21,6,BROOKLYN,556,FLUSHING AVENUE,556 FLUSHING AVENUE,BROOKLYN,NY,11206,3325582,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6993138491682,-73.9510718514459
MARCY,21,7,BROOKLYN,621,PARK AVENUE,621 PARK AVENUE,BROOKLYN,NY,11206,3325594,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.698001896114,-73.9511286817383
MARCY,21,7,BROOKLYN,623,PARK AVENUE,623 PARK AVENUE,BROOKLYN,NY,11206,3325594,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6977804528626,-73.9510269192302
MARCY,21,7,BROOKLYN,625,PARK AVENUE,625 PARK AVENUE,BROOKLYN,NY,11206,3325594,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6978092195533,-73.9507668769633
MARCY,21,8,BROOKLYN,542,FLUSHING AVENUE,542 FLUSHING AVENUE,BROOKLYN,NY,11206,3325581,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6986621816186,-73.951758560482
MARCY,21,8,BROOKLYN,546,FLUSHING AVENUE,546 FLUSHING AVENUE,BROOKLYN,NY,11206,3325581,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6987138137378,-73.9513337043601
MARCY,21,9,BROOKLYN,601,PARK AVENUE,601 PARK AVENUE,BROOKLYN,NY,11206,3325593,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.698266088554,-73.951681316449
MARCY,21,9,BROOKLYN,605,PARK AVENUE,605 PARK AVENUE,BROOKLYN,NY,11206,3325593,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6983083816728,-73.9512661409893
MARCY,21,10,BROOKLYN,532,FLUSHING AVENUE,532 FLUSHING AVENUE,BROOKLYN,NY,11206,3325580,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6991736237202,-73.9522415581254
MARCY,21,10,BROOKLYN,534,FLUSHING AVENUE,534 FLUSHING AVENUE,BROOKLYN,NY,11206,3325580,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6992015588601,-73.9520172217934
MARCY,21,10,BROOKLYN,536,FLUSHING AVENUE,536 FLUSHING AVENUE,BROOKLYN,NY,11206,3325580,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6990002392493,-73.9519671469789
MARCY,21,11,BROOKLYN,583,PARK AVENUE,583 PARK AVENUE,BROOKLYN,NY,11206,3325592,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.697679306315,-73.9519475090282
MARCY,21,11,BROOKLYN,585,PARK AVENUE,585 PARK AVENUE,BROOKLYN,NY,11206,3325592,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.697706944823,-73.951689327142
MARCY,21,11,BROOKLYN,587,PARK AVENUE,587 PARK AVENUE,BROOKLYN,NY,11206,3325592,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6979475673887,-73.9516169870493
MARCY,21,12,BROOKLYN,41,NOSTRAND AVENUE,41 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325589,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6985617856287,-73.9522473846695
MARCY,21,12,BROOKLYN,43,NOSTRAND AVENUE,43 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325589,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6982324888852,-73.9521821501388
MARCY,21,13,BROOKLYN,21,NOSTRAND AVENUE,21 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325557,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6991499087399,-73.9530006772137
MARCY,21,13,BROOKLYN,23,NOSTRAND AVENUE,23 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325557,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6991806706162,-73.9527618320333
MARCY,21,14,BROOKLYN,31,NOSTRAND AVENUE,31 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325588,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6987792770752,-73.952584265621
MARCY,21,14,BROOKLYN,33,NOSTRAND AVENUE,33 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325588,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6987462599246,-73.9528454308264
MARCY,21,14,BROOKLYN,35,NOSTRAND AVENUE,35 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325588,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6985474909571,-73.9528020477262
MARCY,21,15,BROOKLYN,51,NOSTRAND AVENUE,51 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325590,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6981293726159,-73.952723975551
MARCY,21,15,BROOKLYN,53,NOSTRAND AVENUE,53 NOSTRAND AVENUE,BROOKLYN,NY,11206,3325590,1719,1,3017190001,255,BK75,Bedford,3,36,56,18,7,40.6979297521272,-73.9526772466017
